ARTROSCOPIA P/ DIAGNÓSTICO COM OU SEM BIÓPSIA SINOVIAL,,,,,HCO,HSO,REF,,,ARTROSCOPIA,SISTEMA MÚSCULO-ESQUELÉTICO E
"ARTROSCOPIA PARA DESCOMPRESSÃO SUBACROMIAL COM ROTURA DO MANGUITO ROTADOR, RESSECÇÃO",,,,,,,,,,,SISTEMA MÚSCULO-ESQUELÉTICO E
"DA EXTREMIDADE LATERAL DA CLAVÍCULA, ARTRODESE DO OMBRO, FIXAÇÃO MENISCA",,,,,HCO,HSO,REF,,,ARTROSCOPIA,ARTICULAÇÕES
ARTROSCOPIA PARA SINOVECTOMIAS E RESSECÇÃO DE MENISCOS,,,,,HCO,HSO,REF,,,ARTROSCOPIA,SISTEMA MÚSCULO-ESQUELÉTICO E
"ARTROSCOPIA PARA RECONSTRUÇÃO, RETENCIONAMENTO OU REFORÇO DE LIGAMENTO",,,,,HCO,HSO,REF,,,ARTROSCOPIA,ARTICULAÇÕES
"ARTROSCOPIA PARA TRATAMENTO DE INFECÇÃO, REMOÇÃO DE CORPOS ESTRANHOS OU FRAGMENTOS",,,,,,,,,,,SISTEMA MÚSCULO-ESQUELÉTICO E
"LIVRES, SINOVECTOMIA PARCIAL (PLICAS), ADERÊNCIAS, MANIPULAÇÕES, DESBRIDAMENTOS",,,,,HCO,HSO,REF,,,ARTROSCOPIA,ARTICULAÇÕES
ARTROSCOPIA PARA TRATAMENTO DE LUXAÇÃO RECIDIVANTE,,,,,HCO,HSO,REF,,,ARTROSCOPIA,ARTICULAÇÕES
INSTALAÇÃO DE HALO CRANIANO,,,,,HCO,HSO,REF,,,TRAÇÃO,ARTICULAÇÕES
TRAÇÃO CUTÂNEA E OU TRANSESQUELETICA - QUALQUER LOCALIZAÇÃO,,,,,HCO,HSO,REF,,,TRAÇÃO,SISTEMA MÚSCULO-ESQUELÉTICO E
RETIRADA DE PRÓTESES DE SUBSTITUIÇÃO DE PEQUENAS ARTICULAÇÕES,,,,,HCO,HSO,REF,,,RETIRADA DE MATERIAL DE SÍNTESE,ARTICULAÇÕES
RETIRADA DE MATERIAL DE SÍNTESE (QUALQUER MATERIAL),,,,AMB,HCO,HSO,REF,,,RETIRADA DE MATERIAL DE SÍNTESE,ARTICULAÇÕES
APARELHOS GESSADOS (QUALQUER TIPO E LOCALIZAÇÃO),,,,AMB,HCO,HSO,REF,,,IMOBILIZAÇÕES,ARTICULAÇÕES
IMOBILIZAÇÕES NÃO-GESSADAS (QUALQUER LOCALIZAÇÃO),,,,AMB,HCO,HSO,REF,,,IMOBILIZAÇÕES,ARTICULAÇÕES
AMPUTAÇÃO/DESARTICULAÇÃO DE MEMBRO OU SEGMENTO,,,,,HCO,HSO,REF,,,PROCEDIMENTOS GERAIS,ARTICULAÇÕES
ARTRODESE COM OU SEM FIXADOR EXTERNO (DINÂMICO OU NÃO),,,,,HCO,HSO,REF,,,PROCEDIMENTOS GERAIS,ARTICULAÇÕES
ARTROPLASTIA COM OU SEM IMPLANTE,,,,,HCO,HSO,REF,,,PROCEDIMENTOS GERAIS,ARTICULAÇÕES
ARTROTOMIA,,,,,HCO,HSO,REF,,,PROCEDIMENTOS GERAIS,ARTICULAÇÕES
AUTOENXERTO ÓSSEO,,,,,HCO,HSO,REF,,,PROCEDIMENTOS GERAIS,ARTICULAÇÕES
BIÓPSIA ÓSSEA COM OU SEM AGULHA - QUALQUER LOCALIZAÇÃO,,,,AMB,HCO,HSO,REF,,,PROCEDIMENTOS GERAIS,SISTEMA MÚSCULO-ESQUELÉTICO E
PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO
BIÓPSIAS PERCUTÂNEA SINOVIAL OU DE TECIDOS MOLES,,,,AMB,HCO,HSO,REF,,,PROCEDIMENTOS GERAIS,ARTICULAÇÕES
CORPO ESTRANHO INTRA-ARTICULAR - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,PROCEDIMENTOS GERAIS,SISTEMA MÚSCULO-ESQUELÉTICO E
"CORPO ESTRANHO INTRA-ÓSSEO, SUBCUTÂNEO - TRATAMENTO CIRÚRGICO",,,,AMB,HCO,HSO,REF,,,PROCEDIMENTOS GERAIS,ARTICULAÇÕES
CORREÇÃO DE DEFORMIDADE ADQUIRIDA E OU CONGÊNITA COM OU SEM FIXADOR EXTERNO (DINÂMICO OU,,,,,HCO,HSO,REF,,,PROCEDIMENTOS GERAIS,SISTEMA MÚSCULO-ESQUELÉTICO E
NÃO),,,,,,,,,,,ARTICULAÇÕES
CURETAGEM OU RESSECÇÃO EM BLOCO DE TUMOR COM RECONSTRUÇÃO E ENXERTO VASCULARIZADO,,,,,HCO,HSO,REF,,,PROCEDIMENTOS GERAIS,ARTICULAÇÕES
DESCOLAMENTO EPIFISÁRIO (TRAUMÁTICO OU NÃO) TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,PROCEDIMENTOS GERAIS,ARTICULAÇÕES
ENXERTOS EM PSEUDARTROSES,,,,,HCO,HSO,REF,,,PROCEDIMENTOS GERAIS,ARTICULAÇÕES
MANIPULAÇÃO ARTICULAR COM OU SEM ANESTESIA GERAL,,,,,HCO,HSO,REF,,,PROCEDIMENTOS GERAIS,ARTICULAÇÕES
OSTEOTOMIA COM OU SEM FIXADOR EXTERNO (DINÂMICO OU NÃO),,,,,HCO,HSO,REF,,,PROCEDIMENTOS GERAIS,SISTEMA MÚSCULO-ESQUELÉTICO E
PREPARAÇÃO E REVISÃO DE COTO DE AMPUTAÇÃO,,,,AMB,HCO,HSO,REF,,,PROCEDIMENTOS GERAIS,ARTICULAÇÕES
"PUNÇÃO OU INFILTRAÇÃO ARTICULAR DIAGNÓSTICA OU TERAPÊUTICA, ORIENTADA OU NÃO POR MÉTODO",,,,,,,,,,,SISTEMA MÚSCULO-ESQUELÉTICO E
DE IMAGEM,,,,AMB,HCO,HSO,REF,,,PROCEDIMENTOS GERAIS,ARTICULAÇÕES
PUNÇÃO EXTRA-ARTICULAR DIAGNÓSTICA OU TERAPÊUTICA/ ARTROCENTESE (INFILTRAÇÃO/AGULHAMENTO,,,,,,,,,,,SISTEMA MÚSCULO-ESQUELÉTICO E
SECO) ORIENTADO OU NÃO POR MÉTODO DE IMAGEM,,,,AMB,HCO,HSO,REF,,,PROCEDIMENTOS GERAIS,ARTICULAÇÕES
REDUÇÃO INCRUENTA DE FRATURA,,,,AMB,HCO,HSO,REF,,,PROCEDIMENTOS GERAIS,ARTICULAÇÕES
REDUÇÃO INCRUENTA DE LUXAÇÃO E/OU AVULSÕES,,,,AMB,HCO,HSO,REF,,,PROCEDIMENTOS GERAIS,ARTICULAÇÕES
RESSECÇÃO DE LESÃO COM CIMENTAÇÃO E OSTEOSÍNTESE,,,,,HCO,HSO,REF,,,PROCEDIMENTOS GERAIS,ARTICULAÇÕES
RETIRADA DE CORPO ESTRANHO,,,,,HCO,HSO,REF,,,PROCEDIMENTOS GERAIS,ARTICULAÇÕES
RETIRADA DE ENXERTO ÓSSEO,,,,,HCO,HSO,REF,,,PROCEDIMENTOS GERAIS,ARTICULAÇÕES
REVISÃO DE ARTROPLASTIA (QUALQUER SEGMENTO),,,,,HCO,HSO,REF,,,PROCEDIMENTOS GERAIS,ARTICULAÇÕES
TRATAMENTO CIRÚRGICO - ENCURTAMENTO COM OU SEM OSTEOSSINTESE,,,,,HCO,HSO,REF,,,PROCEDIMENTOS GERAIS,SISTEMA MÚSCULO-ESQUELÉTICO E
PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO
TRATAMENTO CIRURGICO ALONGAMENTO COM OU SEM FIXADOR EXTERNO (DINAMICO OU NÃO),,,,,HCO,HSO,REF,,,PROCEDIMENTOS GERAIS,ARTICULAÇÕES
TRATAMENTO CIRÚRGICO DA ARTROSE COM OU SEM FIXADOR EXTERNO (DINÂMICO OU NÃO),,,,,HCO,HSO,REF,,,PROCEDIMENTOS GERAIS,SISTEMA MÚSCULO-ESQUELÉTICO E
TRATAMENTO CIRÚRGICO DA DESARTICULAÇÃO,,,,,HCO,HSO,REF,,,PROCEDIMENTOS GERAIS,ARTICULAÇÕES
TRATAMENTO CIRÚRGICO DA OSTEOMIELITE,,,,,HCO,HSO,REF,,,PROCEDIMENTOS GERAIS,SISTEMA MÚSCULO-ESQUELÉTICO E
TRATAMENTO CIRÚRGICO DA PSEUDOARTROSE COM OU SEM FIXADOR EXTERNO (DINÂMICO OU NÃO),,,,,HCO,HSO,REF,,,PROCEDIMENTOS GERAIS,ARTICULAÇÕES
TRATAMENTO CIRÚRGICO DE FRATURA COM OU SEM FIXADOR EXTERNO (DINÂMICO OU NÃO),,,,,HCO,HSO,REF,,,PROCEDIMENTOS GERAIS,ARTICULAÇÕES
TRATAMENTO CIRÚRGICO DE FRATURA VICIOSAMENTE CONSOLIDADA,,,,,HCO,HSO,REF,,,PROCEDIMENTOS GERAIS,ARTICULAÇÕES
TRATAMENTO CIRÚRGICO DE LESÕES LIGAMENTARES (AGUDAS OU CRÔNICAS),,,,,HCO,HSO,REF,,,PROCEDIMENTOS GERAIS,ARTICULAÇÕES
TRATAMENTO CIRÚRGICO DE LUXAÇÃO E/OU AVULSÕES,,,,,HCO,HSO,REF,,,PROCEDIMENTOS GERAIS,SISTEMA MÚSCULO-ESQUELÉTICO E
TRATAMENTO CONSERVADOR DE FRATURA DE OSSOS,,,,AMB,HCO,HSO,REF,,,PROCEDIMENTOS GERAIS,ARTICULAÇÕES
TUMOR ÓSSEO - TRATAMENTO CIRURGICO,,,,,HCO,HSO,REF,,,PROCEDIMENTOS GERAIS,ARTICULAÇÕES
ARTRODESE DA COLUNA C/ INSTRUMENTAÇÃO,,,,,HCO,HSO,REF,,,COLUNA VERTEBRAL,ARTICULAÇÕES
ARTRODESE DE COLUNA VIA ANTERIOR OU PÓSTERO LATERAL - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,COLUNA VERTEBRAL,ARTICULAÇÕES
ARTROPLASTIA DISCAL DE COLUNA VERTEBRAL (COM DIRETRIZ DE UTILIZAÇÃO),,,,,HCO,HSO,REF,,133,COLUNA VERTEBRAL,ARTICULAÇÕES
BIÓPSIA CIRÚRGICA DA COLUNA,,,,,HCO,HSO,REF,,,COLUNA VERTEBRAL,ARTICULAÇÕES
BIÓPSIA DE CORPO VERTEBRAL COM AGULHA,,,,,HCO,HSO,REF,,,COLUNA VERTEBRAL,ARTICULAÇÕES
CIRURGIA ENDOSCÓPICA DA COLUNA VERTEBRAL - HÉRNIA DE DISCO LOMBAR,,,,,HCO,HSO,REF,,,COLUNA VERTEBRAL,ARTICULAÇÕES
CORDOTOMIA - MIELOTOMIA,,,,,HCO,HSO,REF,,,COLUNA VERTEBRAL,ARTICULAÇÕES
DERIVAÇÃO LOMBAR EXTERNA,,,,,HCO,HSO,REF,,,COLUNA VERTEBRAL,SISTEMA MÚSCULO-ESQUELÉTICO E
PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO
DESCOMPRESSÃO MEDULAR E/OU CAUDA EQUINA,,,,,HCO,HSO,REF,,,COLUNA VERTEBRAL,ARTICULAÇÕES
FRATURA DO CÓCCIX - REDUÇÃO INCRUENTA,,,,AMB,HCO,HSO,REF,,,COLUNA VERTEBRAL,SISTEMA MÚSCULO-ESQUELÉTICO E
FRATURA DO CÓCCIX - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,COLUNA VERTEBRAL,ARTICULAÇÕES
FRATURA E/OU LUXAÇÃO DE COLUNA VERTEBRAL - REDUÇÃO INCRUENTA,,,,AMB,HCO,HSO,REF,,,COLUNA VERTEBRAL,SISTEMA MÚSCULO-ESQUELÉTICO E
FRATURAS OU FRATURA-LUXAÇÃO DE COLUNA - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,COLUNA VERTEBRAL,ARTICULAÇÕES
HEMIVÉRTEBRA - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,COLUNA VERTEBRAL,ARTICULAÇÕES
HÉRNIA DE DISCO - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,COLUNA VERTEBRAL,ARTICULAÇÕES
LAMINECTOMIA OU LAMINOTOMIA,,,,,HCO,HSO,REF,,,COLUNA VERTEBRAL,ARTICULAÇÕES
MICROCIRURGIA PARA TUMORES EXTRA OU INTRADURAIS,,,,,HCO,HSO,REF,,,COLUNA VERTEBRAL,SISTEMA MÚSCULO-ESQUELÉTICO E
OSTEOTOMIA DE COLUNA VERTEBRAL - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,COLUNA VERTEBRAL,ARTICULAÇÕES
PSEUDARTROSE DE COLUNA - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,COLUNA VERTEBRAL,ARTICULAÇÕES
REDUÇÃO INCRUENTA DE OUTRAS AFECÇÕES DA COLUNA,,,,AMB,HCO,HSO,REF,,,COLUNA VERTEBRAL,ARTICULAÇÕES
RETIRADA DE CORPO ESTRANHO - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,COLUNA VERTEBRAL,ARTICULAÇÕES
RETIRADA DE MATERIAL DE SÍNTESE - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,COLUNA VERTEBRAL,ARTICULAÇÕES
SUBSTITUIÇÃO DE CORPO VERTEBRAL,,,,,HCO,HSO,REF,,,COLUNA VERTEBRAL,ARTICULAÇÕES
TRAÇÃO CERVICAL TRANSESQUELÉTICA,,,,,HCO,HSO,REF,,,COLUNA VERTEBRAL,ARTICULAÇÕES
TRATAMENTO CIRÚRGICO DA CIFOSE INFANTIL,,,,,HCO,HSO,REF,,,COLUNA VERTEBRAL,ARTICULAÇÕES
TRATAMENTO CIRÚRGICO DA COSTELA CERVICAL,,,,,HCO,HSO,REF,,,COLUNA VERTEBRAL,ARTICULAÇÕES
TRATAMENTO CIRÚRGICO DA LESÃO TRAUMÁTICA RAQUIMEDULAR,,,,,HCO,HSO,REF,,,COLUNA VERTEBRAL,SISTEMA MÚSCULO-ESQUELÉTICO E
PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO
TRATAMENTO CIRÚRGICO DA OSTEOMIELITE,,,,,HCO,HSO,REF,,,COLUNA VERTEBRAL,ARTICULAÇÕES
TRATAMENTO CIRÚRGICO DAS MALFORMAÇÕES CRANIOVERTEBRAIS,,,,,HCO,HSO,REF,,,COLUNA VERTEBRAL,SISTEMA MÚSCULO-ESQUELÉTICO E
TRATAMENTO CIRÚRGICO DE ESPONDILOLISTESE,,,,,HCO,HSO,REF,,,COLUNA VERTEBRAL,ARTICULAÇÕES
TRATAMENTO CIRÚRGICO DO DISRAFISMO ESPINHAL,,,,,HCO,HSO,REF,,,COLUNA VERTEBRAL,SISTEMA MÚSCULO-ESQUELÉTICO E
TRATAMENTO CIRÚRGICO DO DORSO CURVO OU ESCOLIOSE OU CIFOSE OU GIBA COSTAL,,,,,HCO,HSO,REF,,,COLUNA VERTEBRAL,ARTICULAÇÕES
TRATAMENTO CONSERVADOR DO TRAUMATISMO RAQUIMEDULAR,,,,,HCO,HSO,REF,,,COLUNA VERTEBRAL,ARTICULAÇÕES
"TRATAMENTO MICROCIRÚRGICO DAS LESÕES INTRAMEDULARES (TUMOR, MALFORMAÇÕES",,,,,,,,,,,SISTEMA MÚSCULO-ESQUELÉTICO E
"ARTERIOVENOSAS, SIRINGOMIELIA, PARASITOSES)",,,,,HCO,HSO,REF,,,COLUNA VERTEBRAL,ARTICULAÇÕES
TRATAMENTO MICROCIRÚRGICO DO CANAL VERTEBRAL ESTREITO,,,,,HCO,HSO,REF,,,COLUNA VERTEBRAL,ARTICULAÇÕES
TUMOR ÓSSEO VERTEBRAL - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,COLUNA VERTEBRAL,SISTEMA MÚSCULO-ESQUELÉTICO E
ARTRODESE AO NÍVEL DO OMBRO - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,CINTURA ESCAPULAR,ARTICULAÇÕES
ARTROPLASTIA ESCÁPULO UMERAL COM IMPLANTE - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,CINTURA ESCAPULAR,ARTICULAÇÕES
ARTROTOMIA GLENOUMERAL - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,CINTURA ESCAPULAR,ARTICULAÇÕES
BIÓPSIA CIRÚRGICA DA CINTURA ESCAPULAR,,,,,HCO,HSO,REF,,,CINTURA ESCAPULAR,ARTICULAÇÕES
DESARTICULAÇÃO AO NÍVEL DO OMBRO - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,CINTURA ESCAPULAR,ARTICULAÇÕES
DOENÇA DE SPRENGEL - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,CINTURA ESCAPULAR,ARTICULAÇÕES
ESCÁPULA EM RESSALTO - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,CINTURA ESCAPULAR,ARTICULAÇÕES
FRATURAS E/OU LUXAÇÕES E/OU AVULSÕES - REDUÇÃO INCRUENTA,,,,AMB,HCO,HSO,REF,,,CINTURA ESCAPULAR,ARTICULAÇÕES
FRATURAS E/OU LUXAÇÕES E/OU AVULSÕES - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,CINTURA ESCAPULAR,ARTICULAÇÕES
LUXAÇÕES CRÔNICAS INVETERADAS E RECIDIVANTES - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,ARTICULAÇÃO ESCÁPULO-UMERAL E,SISTEMA MÚSCULO-ESQUELÉTICO E
PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO
OSTEOMIELITE AO NÍVEL DA CINTURA ESCAPULAR - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,CINTURA ESCAPULAR,ARTICULAÇÕES
PSEUDARTROSES E/OU OSTEOTOMIAS DA CINTURA ESCAPULAR - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,ARTICULAÇÃO ESCÁPULO-UMERAL E,SISTEMA MÚSCULO-ESQUELÉTICO E
RESSECÇÃO PARCIAL OU TOTAL DE CLAVÍCULA,,,,,HCO,HSO,REF,,,CINTURA ESCAPULAR,ARTICULAÇÕES
REVISÃO CIRÚRGICA DE PRÓTESE DE OMBRO,,,,,HCO,HSO,REF,,,ARTICULAÇÃO ESCÁPULO-UMERAL E,SISTEMA MÚSCULO-ESQUELÉTICO E
TRANSFERÊNCIAS MUSCULARES AO NÍVEL DO OMBRO,,,,,HCO,HSO,REF,,,CINTURA ESCAPULAR,ARTICULAÇÕES
ABAIXAMENTO MIOTENDINOSO NO ANTEBRAÇO,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,ARTICULAÇÕES
ABSCESSOS DE DEDO (DRENAGEM) - TRATAMENTO CIRÚRGICO,,,,AMB,HCO,HSO,REF,,,MEMBROS SUPERIORES,ARTICULAÇÕES
AGENESIA DE RÁDIO (CENTRALIZAÇÃO DA ULNA NO CARPO),,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,ARTICULAÇÕES
ALONGAMENTO DO RÁDIO/ULNA - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E
ALONGAMENTO DOS OSSOS DO ANTEBRAÇO COM FIXADOR EXTERNO DINÂMICO - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,ARTICULAÇÕES
ALONGAMENTOS TENDINOSOS DE MÃO,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,ARTICULAÇÕES
AMPUTAÇÃO AO NÍVEL DO ANTEBRAÇO - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,ARTICULAÇÕES
AMPUTAÇÃO AO NÍVEL DO BRAÇO - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,ARTICULAÇÕES
AMPUTAÇÃO AO NÍVEL DOS METACARPIANOS - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,ARTICULAÇÕES
AMPUTAÇÃO DE DEDO (CADA) - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,ARTICULAÇÕES
AMPUTAÇÃO TRANSMETACARPIANA COM TRANSPOSIÇÃO DE DEDO,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,ARTICULAÇÕES
ARTRODESE - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,ARTICULAÇÕES
ARTRODESE ENTRE OS OSSOS DO CARPO,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,ARTICULAÇÕES
ARTRODESE INTERFALANGEANA / METACARPOFALANGEANA - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E
PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO
ARTRODESE RÁDIO-CÁRPICA OU DO PUNHO,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,ARTICULAÇÕES
ARTROPLASTIA COM IMPLANTE - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E
ARTROPLASTIA COM IMPLANTE NA MÃO (MF OU IF),,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,ARTICULAÇÕES
ARTROPLASTIA DO PUNHO (COM IMPLANTE) - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E
ARTROPLASTIA INTERFALANGEANA / METACARPOFALANGEANA - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,ARTICULAÇÕES
ARTROPLASTIA PARA OSSOS DO CARPO (COM IMPLANTE) - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,ARTICULAÇÕES
ARTROPLASTIAS SEM IMPLANTE - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,ARTICULAÇÕES
ARTROTOMIA - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,ARTICULAÇÕES
BIÓPSIA CIRÚRGICA,,,,AMB,HCO,HSO,REF,,,MEMBROS SUPERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E
BIÓPSIA CIRÚRGICA DO ANTEBRAÇO,,,,AMB,HCO,HSO,REF,,,MEMBROS SUPERIORES,ARTICULAÇÕES
BIÓPSIA CIRÚRGICA DO ÚMERO,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,ARTICULAÇÕES
BIÓPSIA CIRÚRGICA DOS OSSOS DA MÃO,,,,AMB,HCO,HSO,REF,,,MEMBROS SUPERIORES,ARTICULAÇÕES
BRIDAS CONGÊNITAS - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,ARTICULAÇÕES
CAPSULECTOMIA METACARPO-FALANGEANA OU INTERFALANGEANA,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,ARTICULAÇÕES
CENTRALIZAÇÃO DA ULNA (TRATAMENTO DA MÃO TORTA RADIAL),,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,ARTICULAÇÕES
COTO DE AMPUTAÇÃO DIGITAL - REVISÃO,,,,AMB,HCO,HSO,REF,,,MEMBROS SUPERIORES,ARTICULAÇÕES
DEDO COLO DE CISNE - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,ARTICULAÇÕES
DEDO EM BOTOEIRA - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,ARTICULAÇÕES
"DEDO EM GATILHO, CAPSULOTOMIA / FASCIOTOMIA - TRATAMENTO CIRÚRGICO",,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E
PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO
DEDO EM MARTELO - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,ARTICULAÇÕES
DEDO EM MARTELO - TRATAMENTO CONSERVADOR,,,,AMB,HCO,HSO,REF,,,MEMBROS SUPERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E
DESARTICULAÇÃO AO NÍVEL DO COTOVELO - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,ARTICULAÇÕES
ENXERTO ÓSSEO (PERDA DE SUBSTÂNCIA) - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E
EXPLORAÇÃO CIRÚRGICA DE TENDÃO DE MÃO,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,ARTICULAÇÕES
FALANGIZAÇÃO,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,ARTICULAÇÕES
FIXADOR EXTERNO DINÂMICO COM OU SEM ALONGAMENTO - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,ARTICULAÇÕES
FRATURA (INCLUINDO DESCOLAMENTO EPIFISÁRIO) - REDUÇÃO INCRUENTA,,,,AMB,HCO,HSO,REF,,,MEMBROS SUPERIORES,ARTICULAÇÕES
FRATURA (INCLUINDO DESCOLAMENTO EPIFISÁRIO) - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,SISTEMA MÚSCULO-ESQUELÉTICO E
FRATURA DE BENNETT - TRATAMENTO CIRÚRGICO,,,,AMB,HCO,HSO,REF,,,MEMBROS SUPERIORES,ARTICULAÇÕES
FRATURA DE OSSO DO CARPO - REDUÇÃO CIRÚRGICA,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,ARTICULAÇÕES
FRATURA DE PUNHO - TRATAMENTO CONSERVADOR,,,,AMB,HCO,HSO,REF,,,MEMBROS SUPERIORES,ARTICULAÇÕES
FRATURA DO CARPO - REDUÇÃO INCRUENTA,,,,AMB,HCO,HSO,REF,,,MEMBROS SUPERIORES,ARTICULAÇÕES
FRATURA DO METACARPIANO - TRATAMENTO CONSERVADOR,,,,AMB,HCO,HSO,REF,,,MEMBROS SUPERIORES,ARTICULAÇÕES
FRATURA E/OU LUXAÇÕES (INCLUINDO DESCOLAMENTO EPIFISÁRIO) - REDUÇÃO INCRUENTA,,,,AMB,HCO,HSO,REF,,,MEMBROS SUPERIORES,ARTICULAÇÕES
FRATURA VICIOSAMENTE CONSOLIDADA DE ANTEBRAÇO - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,ARTICULAÇÕES
FRATURAS / PSEUDARTROSES / ARTROSES / COM FIXADOR EXTERNO DINÂMICO - TRATAMENTO CIRÚRGICO,,,,,HCO,HSO,REF,,,MEMBROS SUPERIORES,ARTICULAÇÕES
